azimuth,elevation,port 1_bits,port 2_bits,port 3_bits,port 4_bits,port 5_bits,port 6_bits,port 7_bits,port 8_bits,port 9_bits,port 10_bits,port 11_bits,port 12_bits,port 13_bits,port 14_bits,port 15_bits,port 16_bits,port 17_bits,port 18_bits,port 19_bits,port 20_bits,port 21_bits,port 22_bits,port 23_bits,port 24_bits,port 25_bits
-15,-25,'110010,'110110,'001001,'001101,'101011,'101001,'011101,'011011,'111111,'111000,'111101,'000111,'000000,'000100,'100010,'100000,'010100,'010010,'110110,'110001,'110100,'001010,'001110,'101001,'101101
-15,-20,'000110,'000001,'100101,'010011,'110111,'111001,'000011,'100111,'010000,'010100,'111101,'111011,'000000,'100100,'100010,'011111,'111000,'000010,'100110,'100001,'101000,'011100,'111010,'000001,'000101
-15,-15,'101110,'011001,'111101,'000111,'100000,'010101,'110011,'001111,'101000,'011100,'011101,'111011,'000000,'100100,'010010,'110111,'001000,'101100,'011010,'111110,'111111,'000100,'100010,'010110,'110001
-15,-10,'010001,'110101,'001011,'011111,'111000,'001101,'011011,'111111,'000100,'100010,'011101,'111011,'000000,'100100,'010010,'000111,'100000,'010100,'001010,'101110,'100111,'010000,'001100,'101010,'011110
-15,-5,'000101,'100011,'010111,'110000,'101100,'111101,'000111,'010000,'110100,'001010,'101101,'111011,'000000,'100100,'110010,'101011,'011111,'000100,'100010,'010110,'110011,'101111,'011000,'111100,'000110
-15,0,'101101,'111011,'000000,'100100,'110010,'010011,'110111,'101000,'011100,'111010,'101101,'111011,'000000,'100100,'110010,'010011,'110111,'101000,'011100,'111010,'101101,'111011,'000000,'100100,'110010
-15,5,'110011,'101111,'011000,'111100,'000110,'101011,'011111,'000100,'100010,'010110,'101101,'111011,'000000,'100100,'110010,'111101,'000111,'010000,'110100,'001010,'000101,'100011,'010111,'110000,'101100
-15,10,'100111,'010000,'001100,'101010,'011110,'000111,'100000,'010100,'001010,'101110,'011101,'111011,'000000,'100100,'010010,'001101,'011011,'111111,'000100,'100010,'010001,'110101,'001011,'011111,'111000
-15,15,'111111,'000100,'100010,'010110,'110001,'110111,'001000,'101100,'011010,'111110,'011101,'111011,'000000,'100100,'010010,'010101,'110011,'001111,'101000,'011100,'101110,'011001,'111101,'000111,'100000
-15,20,'101000,'011100,'111010,'000001,'000101,'011111,'111000,'000010,'100110,'100001,'111101,'111011,'000000,'100100,'100010,'111001,'000011,'100111,'010000,'010100,'000110,'000001,'100101,'010011,'110111
-15,25,'110100,'001010,'001110,'101001,'101101,'100000,'010100,'010010,'110110,'110001,'111101,'000111,'000000,'000100,'100010,'101001,'011101,'011011,'111111,'111000,'110010,'110110,'001001,'001101,'101011
-15,30,'100010,'100110,'100001,'010101,'010011,'101000,'101100,'101010,'101110,'101001,'000011,'000111,'000000,'000100,'000010,'110001,'110101,'110011,'110111,'110000,'011100,'011010,'111110,'111001,'111101
-15,35,'111010,'111110,'011001,'011101,'011011,'000100,'111100,'111010,'111110,'011001,'100011,'000111,'000000,'000100,'111100,'100001,'100101,'100011,'000111,'000000,'010100,'010010,'010110,'100001,'100101
-15,40,'101110,'001001,'110101,'010011,'100111,'110100,'010010,'100110,'000001,'111001,'010011,'100111,'000000,'111000,'011100,'000001,'111001,'011101,'101011,'001111,'111000,'011100,'101010,'001110,'110001
-15,45,'010001,'100101,'111101,'011011,'001111,'011100,'001010,'110110,'010001,'000101,'110011,'100111,'000000,'111000,'101100,'011110,'101001,'001101,'010011,'100111,'001000,'010100,'100010,'111010,'011110
-15,50,'111001,'101101,'110011,'100111,'111111,'100010,'111010,'101110,'110001,'100101,'001011,'010111,'000000,'011000,'001100,'101110,'110001,'100101,'111101,'101011,'100000,'111000,'101100,'110010,'100110
-10,-50,'101000,'100100,'101100,'100010,'101010,'000001,'001001,'000101,'001101,'000011,'000111,'001111,'000000,'001000,'000100,'001010,'000110,'001110,'000001,'001001,'110101,'111101,'110011,'111011,'110111
-10,-45,'000100,'001100,'100010,'101010,'010110,'010001,'011001,'110101,'111101,'110011,'111011,'001111,'000000,'001000,'100100,'100010,'101010,'010110,'011110,'110001,'011001,'110101,'111101,'001011,'000111
-10,-40,'110100,'000010,'101010,'010110,'111110,'110001,'000101,'101101,'010011,'011011,'011011,'110111,'000000,'101000,'010100,'011100,'110010,'000110,'101110,'100001,'100001,'011001,'110101,'000011,'101011
-10,-35,'111100,'001010,'010110,'111110,'001001,'101001,'010101,'111101,'001011,'010111,'011011,'110111,'000000,'101000,'010100,'001100,'100010,'011010,'110110,'000001,'001110,'100001,'011001,'001101,'100011
-10,-30,'001010,'100110,'111110,'001001,'100101,'111001,'101101,'010011,'111011,'101111,'101011,'110111,'000000,'101000,'110100,'100100,'011100,'110010,'100110,'011110,'111010,'001110,'100001,'111001,'001101
-10,-25,'000110,'011110,'001001,'100101,'111101,'100101,'111101,'101011,'010111,'000000,'101011,'010111,'000000,'011000,'110100,'011000,'110100,'100010,'111010,'001110,'100010,'111010,'001110,'010001,'000101
-10,-20,'101110,'110001,'100101,'111101,'101011,'001101,'010011,'111011,'101111,'110000,'001011,'010111,'000000,'011000,'001100,'110000,'100100,'011100,'001010,'010110,'110100,'100010,'111010,'101110,'110001
-10,-15,'110001,'100101,'111101,'101011,'110111,'011101,'001011,'010111,'000000,'011000,'001011,'010111,'000000,'011000,'001100,'000000,'011000,'001100,'010010,'000110,'101000,'110100,'100010,'111010,'101110
-10,-10,'000101,'011101,'001011,'110111,'100000,'100011,'111011,'101111,'110000,'010100,'001011,'010111,'000000,'011000,'001100,'101111,'110000,'100100,'111100,'101010,'111111,'101000,'001100,'010010,'000110
-10,-5,'011101,'001011,'010111,'000000,'111000,'001011,'010111,'000000,'011000,'101100,'001011,'010111,'000000,'011000,'001100,'010111,'000000,'011000,'001100,'010010,'100111,'000000,'011000,'001100,'010010
-10,0,'001011,'010111,'000000,'011000,'001100,'111011,'101111,'110000,'100100,'000010,'001011,'010111,'000000,'011000,'001100,'111011,'101111,'110000,'100100,'000010,'001011,'010111,'000000,'011000,'001100
-10,5,'100111,'000000,'011000,'001100,'010010,'010111,'000000,'011000,'001100,'010010,'001011,'010111,'000000,'011000,'001100,'001011,'010111,'000000,'011000,'101100,'011101,'001011,'010111,'000000,'111000
-10,10,'111111,'101000,'001100,'010010,'000110,'101111,'110000,'100100,'111100,'101010,'001011,'010111,'000000,'011000,'001100,'100011,'111011,'101111,'110000,'010100,'000101,'011101,'001011,'110111,'100000
-10,15,'101000,'110100,'100010,'111010,'101110,'000000,'011000,'001100,'010010,'000110,'001011,'010111,'000000,'011000,'001100,'011101,'001011,'010111,'000000,'011000,'110001,'100101,'111101,'101011,'110111
-10,20,'110100,'100010,'111010,'101110,'110001,'110000,'100100,'011100,'001010,'010110,'001011,'010111,'000000,'011000,'001100,'001101,'010011,'111011,'101111,'110000,'101110,'110001,'100101,'111101,'101011
-10,25,'100010,'111010,'001110,'010001,'000101,'011000,'110100,'100010,'111010,'001110,'101011,'010111,'000000,'011000,'110100,'100101,'111101,'101011,'010111,'000000,'000110,'011110,'001001,'100101,'111101
-10,30,'111010,'001110,'100001,'111001,'001101,'100100,'011100,'110010,'100110,'011110,'101011,'110111,'000000,'101000,'110100,'111001,'101101,'010011,'111011,'101111,'001010,'100110,'111110,'001001,'100101
-10,35,'001110,'100001,'011001,'001101,'100011,'001100,'100010,'011010,'110110,'000001,'011011,'110111,'000000,'101000,'010100,'101001,'010101,'111101,'001011,'010111,'111100,'001010,'010110,'111110,'001001
-10,40,'100001,'011001,'110101,'000011,'101011,'011100,'110010,'000110,'101110,'100001,'011011,'110111,'000000,'101000,'010100,'110001,'000101,'101101,'010011,'011011,'110100,'000010,'101010,'010110,'111110
-10,45,'011001,'110101,'111101,'001011,'000111,'100010,'101010,'010110,'011110,'110001,'111011,'001111,'000000,'001000,'100100,'010001,'011001,'110101,'111101,'110011,'000100,'001100,'100010,'101010,'010110
