azimuth,elevation,port 1,port 2,port 3,port 4,port 5,port 6,port 7,port 8,port 9,port 10,port 11,port 12,port 13,port 14,port 15,port 16,port 17,port 18,port 19,port 20,port 21,port 22,port 23,port 24,port 25
-35,30,-11.250,90.000,-174.375,-73.125,28.125,-56.250,45.000,146.250,-112.500,-16.875,157.500,-101.250,0.000,101.250,-157.500,112.500,-146.250,-45.000,56.250,157.500,-28.125,73.125,174.375,-90.000,11.250
-35,35,28.125,118.125,-146.250,-50.625,45.000,-33.750,61.875,157.500,-106.875,-16.875,168.750,-95.625,0.000,95.625,-168.750,106.875,-157.500,-61.875,33.750,129.375,-45.000,50.625,146.250,-118.125,-28.125
-35,40,61.875,151.875,-118.125,-28.125,61.875,-11.250,78.750,163.125,-106.875,-16.875,-180.000,-90.000,0.000,90.000,180.000,106.875,-163.125,-78.750,11.250,101.250,-61.875,28.125,118.125,-151.875,-61.875
-35,45,101.250,-174.375,-95.625,-11.250,73.125,11.250,90.000,174.375,-101.250,-22.500,-163.125,-84.375,0.000,84.375,163.125,101.250,-174.375,-90.000,-11.250,73.125,-73.125,11.250,95.625,174.375,-101.250
-35,50,140.625,-146.250,-73.125,5.625,78.750,33.750,106.875,-180.000,-101.250,-28.125,-151.875,-73.125,0.000,73.125,151.875,101.250,180.000,-106.875,-33.750,45.000,-78.750,-5.625,73.125,146.250,-140.625
-30,-50,-56.250,5.625,73.125,135.000,-157.500,118.125,-174.375,-112.500,-45.000,16.875,-129.375,-67.500,0.000,67.500,129.375,45.000,112.500,174.375,-118.125,-50.625,157.500,-135.000,-73.125,-5.625,56.250
-30,-45,-50.625,22.500,95.625,163.125,-123.750,118.125,-168.750,-95.625,-28.125,45.000,-140.625,-73.125,0.000,73.125,140.625,28.125,95.625,168.750,-118.125,-50.625,123.750,-163.125,-95.625,-22.500,50.625
-30,-40,-39.375,39.375,118.125,-163.125,-84.375,123.750,-157.500,-84.375,-5.625,73.125,-157.500,-78.750,0.000,78.750,157.500,5.625,84.375,157.500,-123.750,-45.000,84.375,163.125,-118.125,-39.375,39.375
-30,-35,-22.500,61.875,146.250,-135.000,-50.625,129.375,-151.875,-67.500,16.875,101.250,-163.125,-84.375,0.000,84.375,163.125,-16.875,67.500,151.875,-129.375,-45.000,50.625,135.000,-146.250,-61.875,22.500
-30,-30,-5.625,84.375,174.375,-101.250,-11.250,135.000,-140.625,-50.625,39.375,123.750,-174.375,-90.000,0.000,90.000,174.375,-39.375,50.625,140.625,-135.000,-45.000,11.250,101.250,-174.375,-84.375,5.625
-30,-25,16.875,106.875,-157.500,-67.500,22.500,140.625,-123.750,-33.750,56.250,151.875,174.375,-90.000,0.000,90.000,-174.375,-56.250,33.750,123.750,-140.625,-50.625,-22.500,67.500,157.500,-106.875,-16.875
-30,-20,39.375,135.000,-129.375,-33.750,61.875,151.875,-112.500,-16.875,78.750,174.375,168.750,-95.625,0.000,95.625,-168.750,-78.750,16.875,112.500,-151.875,-56.250,-61.875,33.750,129.375,-135.000,-39.375
-30,-15,67.500,163.125,-95.625,0.000,95.625,163.125,-95.625,0.000,95.625,-163.125,163.125,-95.625,0.000,95.625,-163.125,-95.625,0.000,95.625,-163.125,-67.500,-95.625,0.000,95.625,-163.125,-67.500
-30,-10,95.625,-163.125,-67.500,33.750,135.000,180.000,-84.375,16.875,118.125,-146.250,163.125,-101.250,0.000,101.250,-163.125,-118.125,-16.875,84.375,-180.000,-78.750,-135.000,-33.750,67.500,163.125,-95.625
-30,-5,123.750,-135.000,-33.750,67.500,168.750,-168.750,-67.500,33.750,135.000,-123.750,157.500,-101.250,0.000,101.250,-157.500,-135.000,-33.750,67.500,168.750,-90.000,-168.750,-67.500,33.750,135.000,-123.750
-30,0,157.500,-101.250,0.000,101.250,-157.500,-151.875,-50.625,50.625,151.875,-106.875,157.500,-101.250,0.000,101.250,-157.500,-151.875,-50.625,50.625,151.875,-106.875,157.500,-101.250,0.000,101.250,-157.500
-30,5,-168.750,-67.500,33.750,135.000,-123.750,-135.000,-33.750,67.500,168.750,-90.000,157.500,-101.250,0.000,101.250,-157.500,-168.750,-67.500,33.750,135.000,-123.750,123.750,-135.000,-33.750,67.500,168.750
-30,10,-135.000,-33.750,67.500,163.125,-95.625,-118.125,-16.875,84.375,-180.000,-78.750,163.125,-101.250,0.000,101.250,-163.125,180.000,-84.375,16.875,118.125,-146.250,95.625,-163.125,-67.500,33.750,135.000
-30,15,-95.625,0.000,95.625,-163.125,-67.500,-95.625,0.000,95.625,-163.125,-67.500,163.125,-95.625,0.000,95.625,-163.125,163.125,-95.625,0.000,95.625,-163.125,67.500,163.125,-95.625,0.000,95.625
-30,20,-61.875,33.750,129.375,-135.000,-39.375,-78.750,16.875,112.500,-151.875,-56.250,168.750,-95.625,0.000,95.625,-168.750,151.875,-112.500,-16.875,78.750,174.375,39.375,135.000,-129.375,-33.750,61.875
-30,25,-22.500,67.500,157.500,-106.875,-16.875,-56.250,33.750,123.750,-140.625,-50.625,174.375,-90.000,0.000,90.000,-174.375,140.625,-123.750,-33.750,56.250,151.875,16.875,106.875,-157.500,-67.500,22.500
-30,30,11.250,101.250,-174.375,-84.375,5.625,-39.375,50.625,140.625,-135.000,-45.000,-174.375,-90.000,0.000,90.000,174.375,135.000,-140.625,-50.625,39.375,123.750,-5.625,84.375,174.375,-101.250,-11.250
-30,35,50.625,135.000,-146.250,-61.875,22.500,-16.875,67.500,151.875,-129.375,-45.000,-163.125,-84.375,0.000,84.375,163.125,129.375,-151.875,-67.500,16.875,101.250,-22.500,61.875,146.250,-135.000,-50.625
-30,40,84.375,163.125,-118.125,-39.375,39.375,5.625,84.375,157.500,-123.750,-45.000,-157.500,-78.750,0.000,78.750,157.500,123.750,-157.500,-84.375,-5.625,73.125,-39.375,39.375,118.125,-163.125,-84.375
-30,45,123.750,-163.125,-95.625,-22.500,50.625,28.125,95.625,168.750,-118.125,-50.625,-140.625,-73.125,0.000,73.125,140.625,118.125,-168.750,-95.625,-28.125,45.000,-50.625,22.500,95.625,163.125,-123.750
-30,50,157.500,-135.000,-73.125,-5.625,56.250,45.000,112.500,174.375,-118.125,-50.625,-129.375,-67.500,0.000,67.500,129.375,118.125,-174.375,-112.500,-45.000,16.875,-56.250,5.625,73.125,135.000,-157.500
-25,-50,-39.375,16.875,73.125,129.375,-180.000,135.000,-174.375,-118.125,-61.875,-5.625,-112.500,-56.250,0.000,56.250,112.500,61.875,118.125,174.375,-135.000,-78.750,180.000,-129.375,-73.125,-16.875,39.375
-25,-45,-28.125,33.750,95.625,151.875,-146.250,135.000,-163.125,-101.250,-45.000,16.875,-123.750,-61.875,0.000,61.875,123.750,45.000,101.250,163.125,-135.000,-73.125,146.250,-151.875,-95.625,-33.750,28.125
-25,-40,-11.250,50.625,118.125,-174.375,-112.500,140.625,-151.875,-90.000,-22.500,45.000,-129.375,-67.500,0.000,67.500,129.375,22.500,90.000,151.875,-140.625,-73.125,112.500,174.375,-118.125,-50.625,11.250
